NAME,B01003_001E,B19013_001E,B25046_001E,B08126_001E,B08301_001E,state,county,tract
Census Tract 4025.01; Los Angeles County; California,4868,52294,2388,1953,1953,06,037,402501
Census Tract 4025.03; Los Angeles County; California,4333,68099,2586,1645,1645,06,037,402503
Census Tract 4025.04; Los Angeles County; California,2509,34712,1526,1085,1085,06,037,402504
Census Tract 4026.01; Los Angeles County; California,2892,68807,1718,1075,1075,06,037,402601
Census Tract 4026.02; Los Angeles County; California,4824,64143,3424,2233,2233,06,037,402602
Census Tract 4027.02; Los Angeles County; California,5018,47872,2101,2145,2145,06,037,402702
Census Tract 4027.03; Los Angeles County; California,5448,65800,3279,1986,1986,06,037,402703
Census Tract 4027.05; Los Angeles County; California,3530,94150,2337,1514,1514,06,037,402705
Census Tract 4027.06; Los Angeles County; California,3629,87976,2286,1729,1729,06,037,402706
Census Tract 4028.01; Los Angeles County; California,4815,55926,2511,2212,2212,06,037,402801
Census Tract 4028.03; Los Angeles County; California,3567,74891,2056,1636,1636,06,037,402803
Census Tract 4028.04; Los Angeles County; California,4442,57276,2301,1832,1832,06,037,402804
Census Tract 4029.02; Los Angeles County; California,6853,65500,3598,2683,2683,06,037,402902
Census Tract 4029.03; Los Angeles County; California,3556,58824,2355,1511,1511,06,037,402903
Census Tract 4029.04; Los Angeles County; California,3671,81506,2608,1814,1814,06,037,402904
Census Tract 4030; Los Angeles County; California,6796,83279,4382,3161,3161,06,037,403000
Census Tract 4033.05; Los Angeles County; California,2150,119375,1635,1050,1050,06,037,403305
Census Tract 4033.16; Los Angeles County; California,7039,92488,5458,3401,3401,06,037,403316
Census Tract 4033.17; Los Angeles County; California,5008,111029,3926,2358,2358,06,037,403317
Census Tract 4033.18; Los Angeles County; California,6250,106046,4710,3047,3047,06,037,403318
Census Tract 4033.19; Los Angeles County; California,4148,82870,3238,1971,1971,06,037,403319
Census Tract 4033.20; Los Angeles County; California,5221,144844,4066,2442,2442,06,037,403320
Census Tract 4033.21; Los Angeles County; California,5536,114871,4261,2854,2854,06,037,403321
Census Tract 4033.23; Los Angeles County; California,5551,86106,3792,2537,2537,06,037,403323
Census Tract 4033.24; Los Angeles County; California,6569,104219,4761,3211,3211,06,037,403324
Census Tract 4033.25; Los Angeles County; California,4864,115778,3295,2117,2117,06,037,403325
Census Tract 4033.26; Los Angeles County; California,2434,127794,1576,1098,1098,06,037,403326
Census Tract 4033.27; Los Angeles County; California,2431,128917,1930,1294,1294,06,037,403327
Census Tract 4033.28; Los Angeles County; California,5435,91985,3844,2542,2542,06,037,403328
Census Tract 4034.01; Los Angeles County; California,4895,111033,3454,2224,2224,06,037,403401
Census Tract 4034.02; Los Angeles County; California,3292,99479,2298,1613,1613,06,037,403402
Census Tract 4034.03; Los Angeles County; California,5228,151818,4234,2361,2361,06,037,403403
Census Tract 4034.04; Los Angeles County; California,2329,128125,1751,932,932,06,037,403404
Census Tract 4034.07; Los Angeles County; California,2193,156438,1769,973,973,06,037,403407
Census Tract 4034.08; Los Angeles County; California,6156,134292,5034,3059,3059,06,037,403408
Census Tract 4034.09; Los Angeles County; California,4119,125938,2995,1904,1904,06,037,403409
